1542135330.62019 | #LOG_START           | ===
1542135787.75098 | ELM_VOLTAGE          | N/V
1542135787.96584 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135788.18149 | COOLANT_TEMP         | 59 degC
1542135788.40447 | INTAKE_PRESSURE      | 53 kilopascal
1542135788.64294 | RPM                  | 1950.0 revolutions_per_minute
1542135788.85180 | SPEED                | 37 kph
1542135789.07725 | INTAKE_TEMP          | 27 degC
1542135789.07859 | #FRAME_END           | ---
1542135789.57973 | #FRAME_START         | ---
1542135789.61093 | ELM_VOLTAGE          | N/V
1542135789.83663 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135790.05306 | COOLANT_TEMP         | 59 degC
1542135790.27618 | INTAKE_PRESSURE      | 51 kilopascal
1542135790.49952 | RPM                  | 2072.0 revolutions_per_minute
1542135790.72295 | SPEED                | 39 kph
1542135790.93239 | INTAKE_TEMP          | 27 degC
1542135790.93371 | #FRAME_END           | ---
1542135791.43486 | #FRAME_START         | ---
1542135791.46096 | ELM_VOLTAGE          | N/V
1542135791.67701 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135791.90730 | COOLANT_TEMP         | 59 degC
1542135792.13138 | INTAKE_PRESSURE      | 46 kilopascal
1542135792.35489 | RPM                  | 2168.0 revolutions_per_minute
1542135792.56285 | SPEED                | 42 kph
1542135792.78795 | INTAKE_TEMP          | 27 degC
1542135792.78927 | #FRAME_END           | ---
1542135793.29052 | #FRAME_START         | ---
1542135793.32109 | ELM_VOLTAGE          | N/V
1542135793.53279 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135793.74792 | COOLANT_TEMP         | 59 degC
1542135793.95503 | INTAKE_PRESSURE      | 22 kilopascal
1542135794.17840 | RPM                  | 2111.0 revolutions_per_minute
1542135794.38626 | SPEED                | 40 kph
1542135794.59582 | INTAKE_TEMP          | 27 degC
1542135794.59713 | #FRAME_END           | ---
1542135795.09827 | #FRAME_START         | ---
1542135795.13106 | ELM_VOLTAGE          | N/V
1542135795.34057 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135795.55657 | COOLANT_TEMP         | 59 degC
1542135795.77954 | INTAKE_PRESSURE      | 19 kilopascal
1542135796.00208 | RPM                  | 1932.0 revolutions_per_minute
1542135796.22589 | SPEED                | 36 kph
1542135796.45155 | INTAKE_TEMP          | 27 degC
1542135796.45284 | #FRAME_END           | ---
1542135796.95756 | #FRAME_START         | ---
1542135797.00038 | ELM_VOLTAGE          | N/V
1542135797.22804 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135797.44319 | COOLANT_TEMP         | 59 degC
1542135797.66638 | INTAKE_PRESSURE      | 26 kilopascal
1542135797.88984 | RPM                  | 1795.0 revolutions_per_minute
1542135798.11361 | SPEED                | 34 kph
1542135798.33901 | INTAKE_TEMP          | 27 degC
1542135798.34047 | #FRAME_END           | ---
1542135798.84159 | #FRAME_START         | ---
1542135798.87096 | ELM_VOLTAGE          | N/V
1542135799.08405 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135799.29946 | COOLANT_TEMP         | 60 degC
1542135799.52261 | INTAKE_PRESSURE      | 34 kilopascal
1542135799.76193 | RPM                  | 1784.0 revolutions_per_minute
1542135799.98592 | SPEED                | 34 kph
1542135800.21152 | INTAKE_TEMP          | 27 degC
1542135800.21290 | #FRAME_END           | ---
1542135800.71409 | #FRAME_START         | ---
1542135800.74095 | ELM_VOLTAGE          | N/V
1542135800.95651 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135801.18828 | COOLANT_TEMP         | 60 degC
1542135801.41069 | INTAKE_PRESSURE      | 43 kilopascal
1542135801.63380 | RPM                  | 1829.0 revolutions_per_minute
1542135801.85751 | SPEED                | 35 kph
1542135802.08305 | INTAKE_TEMP          | 27 degC
1542135802.08447 | #FRAME_END           | ---
1542135802.58563 | #FRAME_START         | ---
1542135802.61098 | ELM_VOLTAGE          | N/V
1542135802.82724 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135803.04288 | COOLANT_TEMP         | 60 degC
1542135803.26593 | INTAKE_PRESSURE      | 41 kilopascal
1542135803.48953 | RPM                  | 1875.0 revolutions_per_minute
1542135803.71318 | SPEED                | 36 kph
1542135803.93872 | INTAKE_TEMP          | 27 degC
1542135803.94022 | #FRAME_END           | ---
1542135804.44140 | #FRAME_START         | ---
1542135804.47112 | ELM_VOLTAGE          | N/V
1542135804.69898 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135804.91457 | COOLANT_TEMP         | 60 degC
1542135805.13769 | INTAKE_PRESSURE      | 37 kilopascal
1542135805.36100 | RPM                  | 1903.0 revolutions_per_minute
1542135805.58508 | SPEED                | 36 kph
1542135805.81049 | INTAKE_TEMP          | 27 degC
1542135805.81187 | #FRAME_END           | ---
1542135806.31305 | #FRAME_START         | ---
1542135806.34101 | ELM_VOLTAGE          | N/V
1542135806.56988 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135806.78781 | COOLANT_TEMP         | 60 degC
1542135807.00886 | INTAKE_PRESSURE      | 42 kilopascal
1542135807.23219 | RPM                  | 1941.0 revolutions_per_minute
1542135807.45603 | SPEED                | 37 kph
1542135807.68167 | INTAKE_TEMP          | 27 degC
1542135807.68298 | #FRAME_END           | ---
1542135808.18898 | #FRAME_START         | ---
1542135808.23039 | ELM_VOLTAGE          | N/V
1542135808.44231 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135808.65732 | COOLANT_TEMP         | 60 degC
1542135808.88054 | INTAKE_PRESSURE      | 33 kilopascal
1542135809.10382 | RPM                  | 1967.0 revolutions_per_minute
1542135809.31186 | SPEED                | 37 kph
1542135809.53709 | INTAKE_TEMP          | 27 degC
1542135809.53841 | #FRAME_END           | ---
1542135810.03953 | #FRAME_START         | ---
1542135810.07108 | ELM_VOLTAGE          | N/V
1542135810.29785 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135810.51334 | COOLANT_TEMP         | 60 degC
1542135810.72024 | INTAKE_PRESSURE      | 33 kilopascal
1542135810.94370 | RPM                  | 1954.0 revolutions_per_minute
1542135811.16743 | SPEED                | 37 kph
1542135811.39282 | INTAKE_TEMP          | 27 degC
1542135811.39413 | #FRAME_END           | ---
1542135811.89536 | #FRAME_START         | ---
1542135811.92094 | ELM_VOLTAGE          | N/V
1542135812.13754 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135812.35357 | COOLANT_TEMP         | 60 degC
1542135812.57843 | INTAKE_PRESSURE      | 27 kilopascal
1542135812.79918 | RPM                  | 1903.0 revolutions_per_minute
1542135813.02309 | SPEED                | 36 kph
1542135813.23263 | INTAKE_TEMP          | 27 degC
1542135813.23393 | #FRAME_END           | ---
1542135813.73736 | #FRAME_START         | ---
1542135813.77101 | ELM_VOLTAGE          | N/V
1542135813.99334 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135814.20833 | COOLANT_TEMP         | 61 degC
1542135814.43163 | INTAKE_PRESSURE      | 29 kilopascal
1542135814.65494 | RPM                  | 1854.0 revolutions_per_minute
1542135814.87870 | SPEED                | 35 kph
1542135815.10422 | INTAKE_TEMP          | 27 degC
1542135815.10552 | #FRAME_END           | ---
1542135815.60664 | #FRAME_START         | ---
1542135815.63098 | ELM_VOLTAGE          | N/V
1542135815.84908 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135816.08089 | COOLANT_TEMP         | 60 degC
1542135816.30377 | INTAKE_PRESSURE      | 35 kilopascal
1542135816.52705 | RPM                  | 1852.0 revolutions_per_minute
1542135816.75137 | SPEED                | 35 kph
1542135816.97650 | INTAKE_TEMP          | 27 degC
1542135816.97787 | #FRAME_END           | ---
1542135817.47904 | #FRAME_START         | ---
1542135817.51098 | ELM_VOLTAGE          | N/V
1542135817.73680 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135817.96837 | COOLANT_TEMP         | 61 degC
1542135818.19161 | INTAKE_PRESSURE      | 32 kilopascal
1542135818.43079 | RPM                  | 1822.0 revolutions_per_minute
1542135818.65471 | SPEED                | 35 kph
1542135818.88025 | INTAKE_TEMP          | 27 degC
1542135818.88167 | #FRAME_END           | ---
1542135819.38533 | #FRAME_START         | ---
1542135819.43022 | ELM_VOLTAGE          | N/V
1542135819.65648 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135819.87290 | COOLANT_TEMP         | 61 degC
1542135820.09538 | INTAKE_PRESSURE      | 31 kilopascal
1542135820.31844 | RPM                  | 1774.0 revolutions_per_minute
1542135820.54235 | SPEED                | 34 kph
1542135820.76783 | INTAKE_TEMP          | 27 degC
1542135820.76920 | #FRAME_END           | ---
1542135821.27048 | #FRAME_START         | ---
1542135821.30115 | ELM_VOLTAGE          | N/V
1542135821.52811 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135821.74368 | COOLANT_TEMP         | 61 degC
1542135821.96697 | INTAKE_PRESSURE      | 56 kilopascal
1542135822.19017 | RPM                  | 1852.0 revolutions_per_minute
1542135822.41403 | SPEED                | 35 kph
1542135822.63943 | INTAKE_TEMP          | 27 degC
1542135822.64093 | #FRAME_END           | ---
1542135823.14211 | #FRAME_START         | ---
1542135823.17101 | ELM_VOLTAGE          | N/V
1542135823.38382 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135823.59984 | COOLANT_TEMP         | 61 degC
1542135823.82202 | INTAKE_PRESSURE      | 44 kilopascal
1542135824.04532 | RPM                  | 1911.0 revolutions_per_minute
1542135824.26908 | SPEED                | 36 kph
1542135824.49379 | INTAKE_TEMP          | 28 degC
1542135824.49509 | #FRAME_END           | ---
1542135824.99850 | #FRAME_START         | ---
1542135825.03095 | ELM_VOLTAGE          | N/V
1542135825.25527 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135825.47059 | COOLANT_TEMP         | 61 degC
1542135825.69372 | INTAKE_PRESSURE      | 25 kilopascal
1542135825.91696 | RPM                  | 1871.0 revolutions_per_minute
1542135826.14093 | SPEED                | 35 kph
1542135826.36546 | INTAKE_TEMP          | 27 degC
1542135826.36675 | #FRAME_END           | ---
1542135826.86798 | #FRAME_START         | ---
1542135826.90183 | ELM_VOLTAGE          | N/V
1542135827.11128 | FUEL_STATUS          | ('Open loop due to engine load OR fuel cut due to deceleration', '')
1542135827.34227 | COOLANT_TEMP         | 61 degC
1542135827.56528 | INTAKE_PRESSURE      | 23 kilopascal
1542135827.78864 | RPM                  | 1015.0 revolutions_per_minute
1542135828.01270 | SPEED                | 32 kph
1542135828.23796 | INTAKE_TEMP          | 27 degC
1542135828.23927 | #FRAME_END           | ---
1542135828.74051 | #FRAME_START         | ---
1542135828.77111 | ELM_VOLTAGE          | N/V
1542135828.98519 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135829.19924 | COOLANT_TEMP         | 61 degC
1542135829.42122 | INTAKE_PRESSURE      | 25 kilopascal
1542135829.64448 | RPM                  | 2199.0 revolutions_per_minute
1542135829.86827 | SPEED                | 28 kph
1542135830.09372 | INTAKE_TEMP          | 27 degC
1542135830.09503 | #FRAME_END           | ---
1542135830.59618 | #FRAME_START         | ---
1542135830.62093 | ELM_VOLTAGE          | N/V
1542135830.83835 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135831.05353 | COOLANT_TEMP         | 61 degC
1542135831.27667 | INTAKE_PRESSURE      | 31 kilopascal
1542135831.50006 | RPM                  | 1993.0 revolutions_per_minute
1542135831.72447 | SPEED                | 26 kph
1542135831.95020 | INTAKE_TEMP          | 27 degC
1542135831.95162 | #FRAME_END           | ---
1542135832.45275 | #FRAME_START         | ---
1542135832.48101 | ELM_VOLTAGE          | N/V
1542135832.69423 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135832.90991 | COOLANT_TEMP         | 62 degC
1542135833.13288 | INTAKE_PRESSURE      | 26 kilopascal
1542135833.35616 | RPM                  | 1945.0 revolutions_per_minute
1542135833.58009 | SPEED                | 24 kph
1542135833.80564 | INTAKE_TEMP          | 27 degC
1542135833.80700 | #FRAME_END           | ---
1542135834.30816 | #FRAME_START         | ---
1542135834.34095 | ELM_VOLTAGE          | N/V
1542135834.56591 | FUEL_STATUS          | ('Open loop due to engine load OR fuel cut due to deceleration', '')
1542135834.78199 | COOLANT_TEMP         | 62 degC
1542135835.00462 | INTAKE_PRESSURE      | 23 kilopascal
1542135835.22810 | RPM                  | 1544.0 revolutions_per_minute
1542135835.45189 | SPEED                | 19 kph
1542135835.67729 | INTAKE_TEMP          | 27 degC
1542135835.67871 | #FRAME_END           | ---
1542135836.17973 | #FRAME_START         | ---
1542135836.21097 | ELM_VOLTAGE          | N/V
1542135836.43764 | FUEL_STATUS          | ('Open loop due to engine load OR fuel cut due to deceleration', '')
1542135836.66839 | COOLANT_TEMP         | 62 degC
1542135836.89231 | INTAKE_PRESSURE      | 48 kilopascal
1542135837.11560 | RPM                  | 1206.0 revolutions_per_minute
1542135837.33955 | SPEED                | 13 kph
1542135837.56500 | INTAKE_TEMP          | 27 degC
1542135837.56641 | #FRAME_END           | ---
1542135838.06754 | #FRAME_START         | ---
1542135838.10096 | ELM_VOLTAGE          | N/V
1542135838.32523 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135838.54099 | COOLANT_TEMP         | 62 degC
1542135838.76409 | INTAKE_PRESSURE      | 40 kilopascal
1542135838.98723 | RPM                  | 892.0 revolutions_per_minute
1542135839.21121 | SPEED                | 4 kph
1542135839.43666 | INTAKE_TEMP          | 27 degC
1542135839.43805 | #FRAME_END           | ---
1542135839.93935 | #FRAME_START         | ---
1542135839.97093 | ELM_VOLTAGE          | N/V
1542135840.19675 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135840.42803 | COOLANT_TEMP         | 62 degC
1542135840.65129 | INTAKE_PRESSURE      | 41 kilopascal
1542135840.87450 | RPM                  | 807.0 revolutions_per_minute
1542135841.09837 | SPEED                | 0 kph
1542135841.32375 | INTAKE_TEMP          | 27 degC
1542135841.32505 | #FRAME_END           | ---
1542135841.82918 | #FRAME_START         | ---
1542135841.87098 | ELM_VOLTAGE          | N/V
1542135842.08446 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135842.31553 | COOLANT_TEMP         | 62 degC
1542135842.53873 | INTAKE_PRESSURE      | 40 kilopascal
1542135842.76217 | RPM                  | 778.0 revolutions_per_minute
1542135842.98595 | SPEED                | 0 kph
1542135843.19548 | INTAKE_TEMP          | 27 degC
1542135843.19680 | #FRAME_END           | ---
1542135843.69790 | #FRAME_START         | ---
1542135843.73093 | ELM_VOLTAGE          | N/V
1542135843.95614 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135844.17136 | COOLANT_TEMP         | 62 degC
1542135844.39445 | INTAKE_PRESSURE      | 39 kilopascal
1542135844.61781 | RPM                  | 787.0 revolutions_per_minute
1542135844.84168 | SPEED                | 0 kph
1542135845.06738 | INTAKE_TEMP          | 27 degC
1542135845.06868 | #FRAME_END           | ---
1542135845.56980 | #FRAME_START         | ---
1542135845.60102 | ELM_VOLTAGE          | N/V
1542135845.82777 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135846.04391 | COOLANT_TEMP         | 62 degC
1542135846.26616 | INTAKE_PRESSURE      | 39 kilopascal
1542135846.50549 | RPM                  | 776.0 revolutions_per_minute
1542135846.72931 | SPEED                | 0 kph
1542135846.95497 | INTAKE_TEMP          | 27 degC
1542135846.95629 | #FRAME_END           | ---
1542135847.46189 | #FRAME_START         | ---
1542135847.50102 | ELM_VOLTAGE          | N/V
1542135847.71551 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135847.93078 | COOLANT_TEMP         | 62 degC
1542135848.15429 | INTAKE_PRESSURE      | 79 kilopascal
1542135848.37767 | RPM                  | 1892.0 revolutions_per_minute
1542135848.60162 | SPEED                | 0 kph
1542135848.82706 | INTAKE_TEMP          | 27 degC
1542135848.82848 | #FRAME_END           | ---
1542135849.32967 | #FRAME_START         | ---
1542135849.36097 | ELM_VOLTAGE          | N/V
1542135849.58733 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135849.80296 | COOLANT_TEMP         | 62 degC
1542135850.02601 | INTAKE_PRESSURE      | 90 kilopascal
1542135850.24928 | RPM                  | 1865.0 revolutions_per_minute
1542135850.47319 | SPEED                | 15 kph
1542135850.69875 | INTAKE_TEMP          | 28 degC
1542135850.70025 | #FRAME_END           | ---
1542135851.20144 | #FRAME_START         | ---
1542135851.23127 | ELM_VOLTAGE          | N/V
1542135851.45907 | FUEL_STATUS          | ('Open loop due to engine load OR fuel cut due to deceleration', '')
1542135851.67461 | COOLANT_TEMP         | 62 degC
1542135851.89785 | INTAKE_PRESSURE      | 87 kilopascal
1542135852.12104 | RPM                  | 1432.0 revolutions_per_minute
1542135852.32890 | SPEED                | 19 kph
1542135852.55451 | INTAKE_TEMP          | 28 degC
1542135852.55588 | #FRAME_END           | ---
1542135853.05979 | #FRAME_START         | ---
1542135853.10098 | ELM_VOLTAGE          | N/V
1542135853.31477 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135853.53036 | COOLANT_TEMP         | 62 degC
1542135853.75334 | INTAKE_PRESSURE      | 33 kilopascal
1542135853.97668 | RPM                  | 1522.0 revolutions_per_minute
1542135854.20079 | SPEED                | 21 kph
1542135854.42631 | INTAKE_TEMP          | 27 degC
1542135854.42770 | #FRAME_END           | ---
1542135854.92892 | #FRAME_START         | ---
1542135854.96097 | ELM_VOLTAGE          | N/V
1542135855.18642 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135855.40202 | COOLANT_TEMP         | 62 degC
1542135855.62509 | INTAKE_PRESSURE      | 27 kilopascal
1542135855.86431 | RPM                  | 1385.0 revolutions_per_minute
1542135856.08820 | SPEED                | 18 kph
1542135856.31336 | INTAKE_TEMP          | 27 degC
1542135856.31468 | #FRAME_END           | ---
1542135856.81581 | #FRAME_START         | ---
1542135856.84093 | ELM_VOLTAGE          | N/V
1542135857.05790 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135857.27309 | COOLANT_TEMP         | 63 degC
1542135857.49620 | INTAKE_PRESSURE      | 32 kilopascal
1542135857.71991 | RPM                  | 769.0 revolutions_per_minute
1542135857.94351 | SPEED                | 7 kph
1542135858.16898 | INTAKE_TEMP          | 27 degC
1542135858.17045 | #FRAME_END           | ---
1542135858.67162 | #FRAME_START         | ---
1542135858.70096 | ELM_VOLTAGE          | N/V
1542135858.91365 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135859.12880 | COOLANT_TEMP         | 63 degC
1542135859.35192 | INTAKE_PRESSURE      | 40 kilopascal
1542135859.57527 | RPM                  | 809.0 revolutions_per_minute
1542135859.79904 | SPEED                | 1 kph
1542135860.02456 | INTAKE_TEMP          | 27 degC
1542135860.02588 | #FRAME_END           | ---
1542135860.52701 | #FRAME_START         | ---
1542135860.55092 | ELM_VOLTAGE          | N/V
1542135860.76923 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135860.98447 | COOLANT_TEMP         | 63 degC
1542135861.20752 | INTAKE_PRESSURE      | 41 kilopascal
1542135861.43104 | RPM                  | 778.0 revolutions_per_minute
1542135861.63908 | SPEED                | 0 kph
1542135861.86449 | INTAKE_TEMP          | 27 degC
1542135861.86580 | #FRAME_END           | ---
1542135862.36691 | #FRAME_START         | ---
1542135862.39102 | ELM_VOLTAGE          | N/V
1542135862.60894 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135862.82415 | COOLANT_TEMP         | 63 degC
1542135863.04725 | INTAKE_PRESSURE      | 53 kilopascal
1542135863.27063 | RPM                  | 1120.0 revolutions_per_minute
1542135863.49449 | SPEED                | 1 kph
1542135863.72034 | INTAKE_TEMP          | 27 degC
1542135863.72168 | #FRAME_END           | ---
1542135864.22565 | #FRAME_START         | ---
1542135864.27020 | ELM_VOLTAGE          | N/V
1542135864.49681 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135864.71234 | COOLANT_TEMP         | 63 degC
1542135864.91949 | INTAKE_PRESSURE      | 89 kilopascal
1542135865.14306 | RPM                  | 1531.0 revolutions_per_minute
1542135865.36672 | SPEED                | 13 kph
1542135865.59223 | INTAKE_TEMP          | 28 degC
1542135865.59364 | #FRAME_END           | ---
1542135866.09476 | #FRAME_START         | ---
1542135866.12095 | ELM_VOLTAGE          | N/V
1542135866.33652 | FUEL_STATUS          | ('Open loop due to engine load OR fuel cut due to deceleration', '')
1542135866.55215 | COOLANT_TEMP         | 63 degC
1542135866.75919 | INTAKE_PRESSURE      | 34 kilopascal
1542135866.98249 | RPM                  | 1466.0 revolutions_per_minute
1542135867.19038 | SPEED                | 19 kph
1542135867.41590 | INTAKE_TEMP          | 27 degC
1542135867.41727 | #FRAME_END           | ---
1542135867.91846 | #FRAME_START         | ---
1542135867.95103 | ELM_VOLTAGE          | N/V
1542135868.17614 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135868.39178 | COOLANT_TEMP         | 63 degC
1542135868.59978 | INTAKE_PRESSURE      | 100 kilopascal
1542135868.82220 | RPM                  | 2346.0 revolutions_per_minute
1542135869.03004 | SPEED                | 32 kph
1542135869.23955 | INTAKE_TEMP          | 29 degC
1542135869.24104 | #FRAME_END           | ---
1542135869.74683 | #FRAME_START         | ---
1542135869.78102 | ELM_VOLTAGE          | N/V
1542135870.00005 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135870.21540 | COOLANT_TEMP         | 63 degC
1542135870.42262 | INTAKE_PRESSURE      | 67 kilopascal
1542135870.64586 | RPM                  | 2025.0 revolutions_per_minute
1542135870.86987 | SPEED                | 38 kph
1542135871.07928 | INTAKE_TEMP          | 29 degC
1542135871.08083 | #FRAME_END           | ---
1542135871.58198 | #FRAME_START         | ---
1542135871.61095 | ELM_VOLTAGE          | N/V
1542135871.82369 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135872.03935 | COOLANT_TEMP         | 63 degC
1542135872.24626 | INTAKE_PRESSURE      | 100 kilopascal
1542135872.46953 | RPM                  | 2447.0 revolutions_per_minute
1542135872.67700 | SPEED                | 47 kph
1542135872.88640 | INTAKE_TEMP          | 29 degC
1542135872.88771 | #FRAME_END           | ---
1542135873.38884 | #FRAME_START         | ---
1542135873.42092 | ELM_VOLTAGE          | N/V
1542135873.63116 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135873.84624 | COOLANT_TEMP         | 63 degC
1542135874.07060 | INTAKE_PRESSURE      | 74 kilopascal
1542135874.29284 | RPM                  | 2872.0 revolutions_per_minute
1542135874.50073 | SPEED                | 55 kph
1542135874.71027 | INTAKE_TEMP          | 30 degC
1542135874.71160 | #FRAME_END           | ---
1542135875.21275 | #FRAME_START         | ---
1542135875.24109 | ELM_VOLTAGE          | N/V
1542135875.45479 | FUEL_STATUS          | ('Open loop due to engine load OR fuel cut due to deceleration', '')
1542135875.67001 | COOLANT_TEMP         | 63 degC
1542135875.87710 | INTAKE_PRESSURE      | 99 kilopascal
1542135876.10041 | RPM                  | 2294.0 revolutions_per_minute
1542135876.32431 | SPEED                | 59 kph
1542135876.54989 | INTAKE_TEMP          | 30 degC
1542135876.55121 | #FRAME_END           | ---
1542135877.05234 | #FRAME_START         | ---
1542135877.08096 | ELM_VOLTAGE          | N/V
1542135877.29449 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135877.50958 | COOLANT_TEMP         | 63 degC
1542135877.71677 | INTAKE_PRESSURE      | 100 kilopascal
1542135877.94020 | RPM                  | 2601.0 revolutions_per_minute
1542135878.16403 | SPEED                | 67 kph
1542135878.37346 | INTAKE_TEMP          | 30 degC
1542135878.37476 | #FRAME_END           | ---
1542135878.87587 | #FRAME_START         | ---
1542135878.90092 | ELM_VOLTAGE          | N/V
1542135879.11811 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135879.33348 | COOLANT_TEMP         | 64 degC
1542135879.55662 | INTAKE_PRESSURE      | 25 kilopascal
1542135879.77990 | RPM                  | 2412.0 revolutions_per_minute
1542135880.00369 | SPEED                | 71 kph
1542135880.21324 | INTAKE_TEMP          | 29 degC
1542135880.21456 | #FRAME_END           | ---
1542135880.71895 | #FRAME_START         | ---
1542135880.76104 | ELM_VOLTAGE          | N/V
1542135880.97416 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135881.18980 | COOLANT_TEMP         | 63 degC
1542135881.39689 | INTAKE_PRESSURE      | 39 kilopascal
1542135881.62013 | RPM                  | 2353.0 revolutions_per_minute
1542135881.84394 | SPEED                | 72 kph
1542135882.06938 | INTAKE_TEMP          | 29 degC
1542135882.07090 | #FRAME_END           | ---
1542135882.57202 | #FRAME_START         | ---
1542135882.60098 | ELM_VOLTAGE          | N/V
1542135882.81380 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135883.02920 | COOLANT_TEMP         | 64 degC
1542135883.25241 | INTAKE_PRESSURE      | 47 kilopascal
1542135883.47570 | RPM                  | 2410.0 revolutions_per_minute
1542135883.69956 | SPEED                | 74 kph
1542135883.90908 | INTAKE_TEMP          | 29 degC
1542135883.91079 | #FRAME_END           | ---
1542135884.41202 | #FRAME_START         | ---
1542135884.44129 | ELM_VOLTAGE          | N/V
1542135884.65364 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135884.86974 | COOLANT_TEMP         | 64 degC
1542135885.09205 | INTAKE_PRESSURE      | 22 kilopascal
1542135885.31535 | RPM                  | 2372.0 revolutions_per_minute
1542135885.52330 | SPEED                | 72 kph
1542135885.73285 | INTAKE_TEMP          | 29 degC
1542135885.73422 | #FRAME_END           | ---
1542135886.24073 | #FRAME_START         | ---
1542135886.28113 | ELM_VOLTAGE          | N/V
1542135886.50902 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135886.72463 | COOLANT_TEMP         | 64 degC
1542135886.93175 | INTAKE_PRESSURE      | 16 kilopascal
1542135887.15514 | RPM                  | 2226.0 revolutions_per_minute
1542135887.36303 | SPEED                | 68 kph
1542135887.58841 | INTAKE_TEMP          | 28 degC
1542135887.59006 | #FRAME_END           | ---
1542135888.09124 | #FRAME_START         | ---
1542135888.12115 | ELM_VOLTAGE          | N/V
1542135888.34876 | FUEL_STATUS          | ('Open loop due to engine load OR fuel cut due to deceleration', '')
1542135888.56433 | COOLANT_TEMP         | 64 degC
